iter	Passed	Remaining
0	108	43286
1	198	39554
2	289	38353
3	391	38725
4	484	38236
5	571	37511
6	664	37318
7	753	36925
8	845	36717
9	936	36529
10	1025	36262
11	1115	36064
12	1208	35972
13	1297	35787
14	1389	35667
15	1478	35481
16	1567	35322
17	1655	35136
18	1751	35123
19	1841	34996
20	1931	34864
21	2020	34710
22	2110	34598
23	2199	34461
24	2290	34353
25	2382	34268
26	2469	34115
27	2558	33991
28	2649	33897
29	2741	33816
30	2831	33709
31	2924	33631
32	3017	33557
33	3110	33479
34	3202	33399
35	3297	33337
36	3387	33233
37	3481	33165
38	3575	33098
39	3670	33036
40	3766	32978
41	3858	32886
42	3951	32809
43	4042	32709
44	4139	32654
45	4230	32559
46	4327	32502
47	4422	32429
48	4519	32375
49	4614	32303
50	4711	32239
51	4806	32164
52	4897	32065
53	4987	31960
54	5082	31878
55	5177	31802
56	5271	31719
57	5366	31643
58	5461	31563
59	5557	31492
60	5650	31401
61	5742	31306
62	5836	31218
63	5931	31141
64	6024	31047
65	6118	30964
66	6214	30887
67	6310	30808
68	6401	30706
69	6489	30594
70	6585	30515
71	6683	30444
72	6781	30378
73	6875	30287
74	6972	30214
75	7063	30111
76	7155	30017
77	7246	29915
78	7338	29818
79	7432	29730
80	7525	29637
81	7617	29541
82	7712	29456
83	7803	29356
84	7897	29268
85	7989	29171
86	8080	29072
87	8172	28975
88	8264	28880
89	8356	28782
90	8451	28696
91	8536	28578
92	8631	28494
93	8724	28399
94	8818	28313
95	8910	28218
96	9006	28133
97	9099	28040
98	9191	27946
99	9285	27855
100	9378	27763
101	9472	27675
102	9563	27575
103	9654	27477
104	9743	27373
105	9833	27274
106	9927	27183
107	10019	27090
108	10114	27002
109	10205	26904
110	10298	26813
111	10395	26730
112	10486	26634
113	10576	26534
114	10665	26432
115	10758	26340
116	10851	26247
117	10945	26157
118	11036	26060
119	11127	25963
120	11215	25860
121	11306	25764
122	11398	25670
123	11492	25579
124	11584	25484
125	11673	25384
126	11765	25291
127	11854	25191
128	11942	25088
129	12035	24996
130	12126	24900
131	12218	24806
132	12309	24711
133	12401	24618
134	12498	24533
135	12589	24437
136	12680	24342
137	12773	24251
138	12867	24160
139	12960	24069
140	13053	23978
141	13144	23881
142	13236	23787
143	13328	23695
144	13419	23600
145	13514	23511
146	13606	23418
147	13700	23327
148	13791	23232
149	13880	23133
150	13970	23038
151	14060	22941
152	14150	22844
153	14241	22749
154	14333	22656
155	14424	22561
156	14515	22466
157	14607	22373
158	14696	22276
159	14786	22180
160	14878	22086
161	14969	21992
162	15064	21903
163	15157	21812
164	15255	21728
165	15346	21633
166	15438	21540
167	15529	21445
168	15621	21351
169	15706	21250
170	15802	21163
171	15897	21073
172	15991	20982
173	16085	20892
174	16178	20801
175	16270	20707
176	16364	20617
177	16455	20523
178	16547	20429
179	16638	20336
180	16732	20245
181	16823	20151
182	16914	20056
183	17000	19957
184	17088	19859
185	17181	19768
186	17277	19679
187	17369	19586
188	17460	19492
189	17551	19398
190	17641	19303
191	17736	19214
192	17825	19118
193	17915	19024
194	18008	18932
195	18099	18838
196	18188	18742
197	18279	18648
198	18367	18552
199	18457	18457
200	18549	18365
201	18639	18270
202	18727	18174
203	18819	18081
204	18911	17988
205	19002	17895
206	19092	17801
207	19186	17710
208	19277	17617
209	19369	17524
210	19465	17435
211	19555	17341
212	19644	17246
213	19735	17153
214	19828	17061
215	19918	16967
216	20008	16873
217	20099	16780
218	20187	16685
219	20273	16587
220	20362	16492
221	20447	16394
222	20539	16302
223	20628	16207
224	20717	16113
225	20809	16021
